Wed Jan  8 15:17:06 2020
[CURREN WORK PATH] /Users/herrshi/Downloads/8-News Set(SogouCS)/news_sohusite_xml.full/utils
[CLASSIFY] gongyi.sohu.com                                   :        152 L
[CLASSIFY] 2008.sohu.com                                     :         34 L
[CLASSIFY] club.baobao.sohu.com                              :        118 L
[CLASSIFY] try.women.sohu.com                                :         62 L
[CLASSIFY] s.sohu.com                                        :       8042 L
[CLASSIFY] roll.sohu.com                                     :     670985 L
[CLASSIFY] infinitiex.i.auto.sohu.com                        :          7 L
[CLASSIFY] helper.i.auto.sohu.com                            :          5 L
[CLASSIFY] zhuanti.club.learning.sohu.com                    :         13 L
[CLASSIFY] vip.book.sohu.com                                 :       3400 L
[CLASSIFY] club.women.sohu.com                               :        261 L
[CLASSIFY] club.travel.sohu.com                              :         17 L
[CLASSIFY] club.yule.sohu.com                                :        268 L
[CLASSIFY] weiqi.sports.sohu.com                             :          1 L
[CLASSIFY] women.sohu.com                                    :       1658 L
[CLASSIFY] club.sports.sohu.com                              :       1013 L
[CLASSIFY] babyclub.women.sohu.com                           :        155 L
[CLASSIFY] chihe.sohu.com                                    :        237 L
[CLASSIFY] c5.i.auto.sohu.com                                :        420 L
[CLASSIFY] club.gd.sohu.com                                  :         63 L
[CLASSIFY] stock.business.sohu.com                           :        147 L
[CLASSIFY] db.money.sohu.com                                 :       2700 L
[CLASSIFY] shxicyh.i.auto.sohu.com                           :          7 L
[CLASSIFY] jingqu.travel.sohu.com                            :       1519 L
[CLASSIFY] riichg5.i.auto.sohu.com                           :          5 L
[CLASSIFY] club.city.travel.sohu.com                         :        227 L
[CLASSIFY] bora.i.auto.sohu.com                              :          4 L
[CLASSIFY] jaguar-xj.i.auto.sohu.com                         :          1 L
[CLASSIFY] csl.sports.sohu.com                               :         10 L
[CLASSIFY] gd.sohu.com                                       :       1263 L
[CLASSIFY] news.sohu.com                                     :      63836 L
[CLASSIFY] stock.sohu.com                                    :      32178 L
[CLASSIFY] ad2.sh.sohu.com                                   :          9 L
[CLASSIFY] cbachina.sports.sohu.com                          :        800 L
[CLASSIFY] club.it.sohu.com                                  :         25 L
[CLASSIFY] club.learning.sohu.com                            :         70 L
[CLASSIFY] lancerex.i.auto.sohu.com                          :          8 L
[CLASSIFY] hebcyh.i.auto.sohu.com                            :         11 L
[CLASSIFY] zhuanti.club.chihe.sohu.com                       :          6 L
[CLASSIFY] lupo.i.auto.sohu.com                              :          1 L
[CLASSIFY] sports.sohu.com                                   :      37211 L
[CLASSIFY] acyz.i.auto.sohu.com                              :          4 L
[CLASSIFY] club.book.sohu.com                                :        289 L
[CLASSIFY] campus.learning.sohu.com                          :         12 L
[CLASSIFY] beta.club.sohu.com                                :        124 L
[CLASSIFY] media.news.sohu.com                               :         19 L
[CLASSIFY] m.tv.sohu.com                                     :         14 L
[CLASSIFY] ford.i.auto.sohu.com                              :          4 L
[CLASSIFY] fenghua.i.auto.sohu.com                           :          3 L
[CLASSIFY] sip1288.i.auto.sohu.com                           :          1 L
[CLASSIFY] spyker.i.auto.sohu.com                            :          1 L
[CLASSIFY] huodong.i.auto.sohu.com                           :          1 L
[CLASSIFY] srx.i.auto.sohu.com                               :          7 L
[CLASSIFY] saa.auto.sohu.com                                 :      19245 L
[CLASSIFY] business.sohu.com                                 :      20096 L
[CLASSIFY] music.yule.sohu.com                               :       1545 L
[CLASSIFY] lifan.i.auto.sohu.com                             :          9 L
[CLASSIFY] city.i.auto.sohu.com                              :          6 L
[CLASSIFY] saddle.i.auto.sohu.com                            :          4 L
[CLASSIFY] baby.women.sohu.com                               :         35 L
[CLASSIFY] apple1218.i.auto.sohu.com                         :          8 L
[CLASSIFY] benteng.i.auto.sohu.com                           :          5 L
[CLASSIFY] sdsail.i.auto.sohu.com                            :         14 L
[CLASSIFY] 300c.i.auto.sohu.com                              :          3 L
[CLASSIFY] hldcyh.i.auto.sohu.com                            :          1 L
[CLASSIFY] club.sh.sohu.com                                  :        207 L
[CLASSIFY] zunchi.i.auto.sohu.com                            :          7 L
[CLASSIFY] lz.club.gd.sohu.com                               :         27 L
[CLASSIFY] cdcyh.i.auto.sohu.com                             :         16 L
[CLASSIFY] vision.i.auto.sohu.com                            :          3 L
[CLASSIFY] xialin3.i.auto.sohu.com                           :          4 L
[CLASSIFY] changsha.auto.sohu.com                            :        357 L
[CLASSIFY] foshan.auto.sohu.com                              :        359 L
[CLASSIFY] games.sohu.com                                    :         42 L
[CLASSIFY] navigator.i.auto.sohu.com                         :          1 L
[CLASSIFY] pajero.i.auto.sohu.com                            :          5 L
[CLASSIFY] nr.book.sohu.com                                  :          2 L
[CLASSIFY] sccyh.i.auto.sohu.com                             :          9 L
[CLASSIFY] volkswagen.i.auto.sohu.com                        :          5 L
[CLASSIFY] wuxi.auto.sohu.com                                :        297 L
[CLASSIFY] goche.auto.sohu.com                               :       3469 L
[CLASSIFY] hbcyh.i.auto.sohu.com                             :          5 L
[CLASSIFY] perla.i.auto.sohu.com                             :          4 L
[CLASSIFY] haoqing.i.auto.sohu.com                           :          5 L
[CLASSIFY] pic.cul.sohu.com                                  :        479 L
[CLASSIFY] xn.xy.learning.club.sohu.com                      :          2 L
[CLASSIFY] handan.i.auto.sohu.com                            :          8 L
[CLASSIFY] ceshi1.i.auto.sohu.com                            :          5 L
[CLASSIFY] wlmqcyh.i.auto.sohu.com                           :          6 L
[CLASSIFY] xbxfz.i.auto.sohu.com                             :          1 L
[CLASSIFY] cd.club.sohu.com                                  :         11 L
[CLASSIFY] mgmg6.i.auto.sohu.com                             :          6 L
[CLASSIFY] club.news.sohu.com                                :        107 L
[CLASSIFY] caddy.i.auto.sohu.com                             :          7 L
[CLASSIFY] zhongyi.i.auto.sohu.com                           :          1 L
[CLASSIFY] jsp.auto.sohu.com                                 :         46 L
[CLASSIFY] zhuanbo.2008.sohu.com                             :         22 L
[CLASSIFY] epica2.i.auto.sohu.com                            :          7 L
[CLASSIFY] auto.sohu.com                                     :       5716 L
[CLASSIFY] anhuifuwu.i.auto.sohu.com                         :          1 L
[CLASSIFY] huamulan.i.auto.sohu.com                          :          3 L
[CLASSIFY] mycarclub.i.auto.sohu.com                         :          5 L
[CLASSIFY] panda.i.auto.sohu.com                             :          3 L
[CLASSIFY] card.money.sohu.com                               :        539 L
[CLASSIFY] fukang.i.auto.sohu.com                            :          3 L
[CLASSIFY] shijixing.i.auto.sohu.com                         :          2 L
[CLASSIFY] jingang.i.auto.sohu.com                           :          5 L
[CLASSIFY] pic.yule.sohu.com                                 :      27350 L
[CLASSIFY] info.2008.sohu.com                                :        753 L
[CLASSIFY] box.baobao.sohu.com                               :         13 L
[CLASSIFY] weather.news.sohu.com                             :          2 L
[CLASSIFY] huapu.i.auto.sohu.com                             :          5 L
[CLASSIFY] hangzhou.auto.sohu.com                            :        670 L
[CLASSIFY] c30.i.auto.sohu.com                               :          7 L
[CLASSIFY] csldata.sports.sohu.com                           :        120 L
[CLASSIFY] tuan.sohu.com                                     :          1 L
[CLASSIFY] autofans.i.auto.sohu.com                          :          1 L
[CLASSIFY] fulaier.i.auto.sohu.com                           :          4 L
[CLASSIFY] suzhou.auto.sohu.com                              :        437 L
[CLASSIFY] alto.i.auto.sohu.com                              :          5 L
[CLASSIFY] 206.i.auto.sohu.com                               :          5 L
[CLASSIFY] corolla.i.auto.sohu.com                           :          2 L
[CLASSIFY] sdtiida.i.auto.sohu.com                           :          1 L
[CLASSIFY] pic.tv.sohu.com                                   :          9 L
[CLASSIFY] jingcai.club.sohu.com                             :          6 L
[CLASSIFY] app.auto.sohu.com                                 :          6 L
[CLASSIFY] qhdcy.i.auto.sohu.com                             :          7 L
[CLASSIFY] p.club.business.sohu.com                          :         13 L
[CLASSIFY] huncyh.i.auto.sohu.com                            :          4 L
[CLASSIFY] club.comment2.news.sohu.com                       :          9 L
[CLASSIFY] jetta.i.auto.sohu.com                             :          4 L
[CLASSIFY] info.2012.sohu.com                                :         28 L
[CLASSIFY] myway.astro.women.sohu.com                        :        123 L
[CLASSIFY] escalade.i.auto.sohu.com                          :          5 L
[CLASSIFY] pic.chihe.sohu.com                                :        191 L
[CLASSIFY] touran.i.auto.sohu.com                            :         10 L
[CLASSIFY] index.business.sohu.com                           :         43 L
[CLASSIFY] zhuanti.club.health.sohu.com                      :         11 L
[CLASSIFY] sx4.i.auto.sohu.com                               :          4 L
[CLASSIFY] drug.health.sohu.com                              :      11366 L
[CLASSIFY] grandis.i.auto.sohu.com                           :          2 L
[CLASSIFY] golf.i.auto.sohu.com                              :          2 L
[CLASSIFY] liberty.i.auto.sohu.com                           :          2 L
[CLASSIFY] club.astro.sohu.com                               :        189 L
[CLASSIFY] regal.i.auto.sohu.com                             :          2 L
[CLASSIFY] lz.club.sh.sohu.com                               :          8 L
[CLASSIFY] haodf.health.sohu.com                             :      10885 L
[CLASSIFY] sportage.i.auto.sohu.com                          :         12 L
[CLASSIFY] sdsx4.i.auto.sohu.com                             :          4 L
[CLASSIFY] nanjing.auto.sohu.com                             :        515 L
[CLASSIFY] baodian.women.sohu.com                            :       2515 L
[CLASSIFY] ayham.i.auto.sohu.com                             :          8 L
[CLASSIFY] bj.learning.sohu.com                              :          1 L
[CLASSIFY] aiyihang.i.auto.sohu.com                          :          4 L
[CLASSIFY] haishi1.i.auto.sohu.com                           :          1 L
[CLASSIFY] sail.i.auto.sohu.com                              :         13 L
[CLASSIFY] xiaoguizu.i.auto.sohu.com                         :          9 L
